课程类型,课程链接,参加人数,授课老师,课程名称,课程学校,课程标签,开课开始时间,开课结束时间,课程概述,课程状态,课程评分,封面图
硬软件系统及原理,https://www.icourse163.org/course/UESTC-1002268006,1639,王丽杰,离散数学,电子科技大学,国家精品,2023年02月27日,2023年06月30日,离散数学是计算机学科的经典核心基础课程。课程内容主要包括集合论，数理逻辑，关系理论，图论相关内容，为进一步学习计算机科学的基本理论和方法以及之后的专业课打下良好的基础。通过这门课程的学习，将会培养学生的抽象思维能力，逻辑推理能力，缜密概括能力以及分析和解决实际问题的能力。离散数学的学习，为其后续课程（如数据结构、操作系统、计算机网络、编译理论、数字逻辑理论、数据库系统、算法分析、系统结构、人工智能等）的学习打下坚实的理论基础。这门课程的理论性较强，知识点比较多，但均“有迹可循，有法可依”，因而完成这门课程的学习并非很难。我们通过对课程内容的合理安排（“营养均衡”），每一讲的精心调配（“正餐”），课后习题的专业配套（“甜点”），为在线学习用户提供了学习离散数学课程的一种新形式。---------------------------------------需要代数系统部分的同学请注意：现在已经录制了代数系统部分的视频，视频的微信访问二维码和课件可以在本课程附件中获得。这部分内容不在证书考核范围内，仅供需要的同学使用。,课程即将开始,5.0,http://edu-image.nosdn.127.net/F308633278694316BDBD61A1D74E8532.png?imageView&thumbnail=510y288&quality=100
硬软件系统及原理,https://www.icourse163.org/course/XJTU-1001647001,620,吴宁,微机原理与接口技术,西安交通大学,国家精品,2023年02月27日,2023年07月31日,在今天的信息化时代，计算机已成为了人类工作和生活中必不可少的一部分。计算机的主要应用方向之一是过程控制。工业过程控制的对象往往是一些连续变化的非电物理量，要使这类信号能够被计算机所识别和处理，需要经过一个复杂的过程。本课程面向有志于从事计算机过程控制系统设计、或对计算机硬件结构感兴趣的学习者，介绍包括计算机基础知识、微型计算机基本工作原理、存储器接口设计、输入输出接口控制技术等理论知识和设计方法，并最终实现简单I/O接口控制系统软硬件设计的初步能力。课程按周组织，共12周，涉及8个章节的内容，包括：微型计算机系统概述（含嵌入式技术概述）、微处理器与总线（含ARM处理器和两种型号的国产处理器介绍）、80x86基本指令集、汇编语言程序设计、半导体存储器、输入输出和中断技术、可编程并行数字接口、模拟量的输入输出。在最后一周，借助对有一定实际应用背景的综合设计案例讲解，实现对整门课程主体内容的融会贯通。需要特别强调的是：本课程属于“设计型”课程，需要对某些定义的记忆（如指令助记符），更需要对知识的理解，并融汇贯通。只有将课程所学知识真正理解并变成了自己的知识，才有可能按照要求去完成系统设计。本课程参考教材为：吴宁主编.《微型计算机原理与接口技术》（第4版），清华大学出版社,课程即将开始,5.0,http://edu-image.nosdn.127.net/54DE51F17115314C19ADF2335D735ED4.JPG?imageView&thumbnail=426y240&quality=100
硬软件系统及原理,https://www.icourse163.org/course/DUT-1205719818,55,张宏伟,计算方法,大连理工大学,国家精品,2023年02月19日,2023年06月04日,《计算方法》有别于通常的公共数学（分析数学）课程，属于数值数学的范畴。也称之为-科学计算。即现代意义下的计算数学。本课程主要研究用计算机求解各种数学问题的现代、行之有效数值计算方法及其理论与软件实现。课程的特点：一、构造计算机可行的有效算法；二、给出可靠的理论分析，即对任意逼近并达到精度要求，保证数值算法的收敛性和数值稳定性，并可进行误差分析。三、有好的计算复杂性，既要时间复杂性好，是指节省时间，又要空间复杂性好，是指节省存储量，这也是建立算法要研究的问题，它关系到算法能否在计算机上实现。四、数值实验，即任何一个算法除了从理论上要满足上述三点外，还要通过数值试验证明是行之有效的。课程内容主要包括：矩阵的LU及其相关分解、奇异值分解、求解线性方程组、非线性方程的数值法；矩阵的分析；函数逼近的Lagrange插值公式及Newton插值公式；三次样条插值；求矩阵特征值对的数值方法；函数和离散数据拟合的最小二乘法；复化的梯形求积公式和复化的simpson求积公式、Gauss型求积公式；求解一阶微分方程初值问题的线性单步法、多步法以及Ronge-kutta法、方法的稳定性、绝对稳定性和绝对稳定区间。  通过《计算方法》课程的教学，使学生掌握计算机现代数值方法的基本概念、基本理论与基本方法，使学生在较好地掌握如何将一种数学问题转化为数值问题的基本方法，提高学生用计算机解决数学问题的能力。通过数值实践环节，提高学生的算法编程实现能力，另一方面，通过数值实验，使学生对所学的方法的实际效果有进一步的了解。培养学生综合的素质和提高学生解决问题的能力是其目标。为今后的工程、软件工程实际应用打下坚实数学数值计算基础。,课程即将开始,3.25,http://edu-image.nosdn.127.net/E3C349FFD2BB47B5498B85CCF033AE6C.png?imageView&thumbnail=510y288&quality=100
硬软件系统及原理,https://www.icourse163.org/course/NEU-1002249011,17,姜琳颖,计算机组成原理,东北大学,国家精品,2023年02月26日,2023年07月01日,《计算机组成原理》课程在计算机类专业的教学计划中占有重要地位和作用，是一门重要技术基础课。学习本课程旨在使学生掌握计算机硬件各子系统的组成原理及实现技术，建立计算机系统的整体概念，对培养学生设计开发计算机系统的能力有重要作用。通过本课程的学习，使学生了解计算机的发展历史和未来发展趋势，掌握数字逻辑设计的基本理论和技术，如数制、码制、逻辑代数、逻辑化简技术。掌握数字电路中的基本逻辑器件的基本工作原理和使用中应注意的各方面问题，掌握各种逻辑部件和逻辑单元的基本逻辑功能，初步掌握运用逻辑器件和逻辑部件实现简单的数字电子系统设计的能力。掌握计算机系统的基本知识，掌握计算机内部的各种信息编码、基本运算的操作原理、基本部件的构造和组织方式、部件和单元电路的设计方法，建立一个完整的整机概念，并深刻理解计算机各子系统之间的相互联系以及各自在计算机整机中的地位和作用。,课程即将开始,5.0,http://edu-image.nosdn.127.net/AE0974AF6E148500A0B32319BA56313A.png?imageView&thumbnail=510y288&quality=100
硬软件系统及原理,https://www.icourse163.org/course/HUST-1003405007,626,苏曙光,操作系统原理,华中科技大学,国家精品,2023年02月06日,2023年06月15日,《操作系统原理》学习操作系统的通用原理和算法，主要内容包括：进程管理、内存管理、设备管理、文件系统等核心内容。通过理论学习和实践环节，能掌握操作系统的基本功能、结构、原理和算法，具备分析和设计简单操作系统的能力，具备阅读、分析和裁剪现有开源操作系统的能力；培养大型程序设计方法和技巧，提高编制清晰、合理、可读性好的系统程序。课程概念清晰，内容丰富，通俗易懂，实践性与实用性较很强。每章课后有大量的习题、开放性思考题，上机编程题。,课程即将开始,5.0,http://edu-image.nosdn.127.net/43BBDC4553C3CDE714C01755B5050CAF.jpg?imageView&thumbnail=510y288&quality=100
硬软件系统及原理,https://www.icourse163.org/course/HUST-1205809816,480,谭志虎,计算机硬件系统设计,华中科技大学,国家精品,2023年02月06日,2023年06月30日, 本课程设计的系列原创的虚拟仿真实验有效克服了传统计算机硬件实验平台和实验体系的不足，无需任何硬件实验平台，突破了传统硬件实验对实验场地和实验平台的约束，课内课外相结合，特别适合线上线下开展。遵循层次化、递进化、系统化的思想，利用简单易学的虚拟仿真实验平台，采用最直观的构建原理图的方式，让学生从门电路开始逐步设计组合逻辑、时序逻辑、运算器、存储系统、数据通路和控制器、流水控制逻辑直至完整的MIPS CPU来深入理解计算机系统，大大加深硬件系列课程的理解。计算机相关专业同学在学习《数字逻辑》、《计算机组成原理》、《计算机组织与结构》、《计算机系统结构》时可配套本课程的部分或全部内容进行辅助学习，可大大提升相关课程学习效果。   课程成果从2014年开始逐步应用在我院《数字逻辑》、《逻辑与计算机设计基础》、《计算机组成原理》、《硬件综合训练》、《计算机组成原理课程设计》等课程的实践教学中，受到了广大师生的一致好评，相关实验课堂多次被评为学生最满意课堂，四次获得校优秀课程设计，四次校优秀课程实验，2018年获华中科技大学实验技术成果奖一等奖。先后主办过5次实验教学导教班，来自全国约110所兄弟院校近300位教师学习了课程实验教学模式、目前多所院校采用了本课程的相关实验方案。选课对象：1、想把硬件课程学好学精的计算机相关专业学生。2、想提分的《计算机组成原理》考研同学， 欢迎讨论区提问，有问必答！！！3、对计算机硬件系统内部原理感兴趣的工程技术人员。无需硬件，一小时玩转实验平台，随时随地做实验实验无需任何硬件平台，采用基于JAVA平台的Logisim虚拟仿真软件开展相关实验，可在支持Win、Linux、Mac平台。平台简单易学，一小时即可上手实验，有效突破传统硬件实验对时间、空间的限制，改变实验模式，极大的拓展延长了课外实验时间，大大提升实验效率，特别适合线上线下开展。目前加州伯克利大学CS61C课程，康奈尔大学CS3410课程、杜克大学ECE250D课程均采用该平台进行实验。原理图构建电路，简单直观，培养硬件思维传统实验箱实验可靠性低，调试工作量大，挫败感严重，维护工作量大，在固定的实验场所有限时间内很难完成复杂的设计型实验。FPGA开发板实验采用硬件描述语言进行硬件设计，但学习周期过长，调试难度大，技术水平要求过高；硬件设计程序化导致学生很难建立硬件设计与底层电路的对应关系，硬件设计体会不深。本课程在Logisim虚拟仿真平台上采用原理图方式进行硬件电路设计，不需学习硬件描述语言等课程，平台易学易用，调试方便，原理图构建电路可有效提升学生的硬件思维，延续了数字逻辑课程中的设计方法。做中学，玩中学，丰富的原创实验等你来通关本课程开发的一系列的原创性实验，既体现趣味性，又体现实验难度，让学生在做中学，玩中学。原创的海明、CRC校验码编码流水传输实验、流水乘法器实验、磁盘阵列控制器实验、cache硬件设计实验、MIPS多周期硬布线与微程序控制器设计、MIPS五段流水CPU设计、动态分支预测实验等均是国际国内首创，一个个层次递进，由易到难的实验就犹如游戏中设计精巧的关卡，等待你去通关，不服来战！ 评测自动化，结果及时反馈，无需老师相伴左右通过输入输出接口规范化，测试用例标准化，性能指标数据化，实验测试评分自动化等一系列手段，构建了实验一分钟检测框架，大大提升实验的易检查性。原创的硬件实验自动评测系统，学生可自行检查实验、系统可进行故障记录、自动评分，及时反馈实验结果，大大提升实验效率，为实验提供精准指导，学生自主学习，主动实践，促进实践教学模式的改革。 无缝对接理论课程，提升学习效果，培养系统能力实践内容紧扣硬件课程理论教学重点难点，努力让枯燥的理论知识在实践中鲜活起来，重知识点的综合应用和评价，学生反馈完成实验知识点想忘都难，真正做到实践教学助力理论教学。将高难度的五段流水CPU设计任务分解为层次递进，由易到难的多个单元实验，跨课程实施，最终集成为完整的CPU，让多门课程衔接更顺畅，在递进的学习过程中让学生养成系统观，有效提升学生计算机系统设计能力。课程成果从2014年开始逐步应用在我院《数字逻辑》、《逻辑与计算机设计基础》、《计算机组成原理》、《硬件综合训练》、《计算机组成原理课程设计》等课程的实践教学中，受到了广大师生的一致好评，相关实验课堂多次被评为学生最满意课堂，四次获得校优秀课程设计，四次校优秀课程实验，2018年获华中科技大学实验技术成果奖一等奖。先后主办过3次实验教学导教班，来自全国约80所兄弟院校200余教师学习了课程实验教学模式、目前多所院校采用了本课程的相关实验方案。,课程即将开始,5.0,http://edu-image.nosdn.127.net/C79FF69CC5438408A34799997AAAD8A6.png?imageView&thumbnail=510y288&quality=100
硬软件系统及原理,https://www.icourse163.org/course/NEU-1002125002,88,柳秀梅,计算机硬件技术基础,东北大学,国家精品,2023年02月26日,2023年07月15日,《计算机硬件技术基础》课程是面向非电专业开设一门计算机公共基础课。本课程主要讨论单机系统范围内计算机各部分和系统的组成及内部工作机制。通过对本门课程学习，学生将了解计算机各大部件的工作原理、组成方法以及相互关系，了解计算机系统的层次化结构概念，熟悉一些典型的有代表性的计算机结构，理解硬件与软件直接的接口界面，建立起一个完整的计算机系统的整机概念。这门课可作为《计算机组成原理》的前导课程，为后续课程的学习提供必要的基础知识。  《计算机硬件技术基础》课程共包含八个章节，共计60多个知识点。课程以冯．诺依曼计算机模型作为教学起点，介绍计算机的组织结构和工作原理，剖析计算机的运算器、存储器、控制器和输入输出设备的组成、工作原理与相互关系。目标是使学生对计算机的内部结构、功能部件、功能特征、性能以及交互方式全面掌握，通过本课程的学习和课程配套的系列实验之后，学生不应当把计算机看着一个执行程序的黑匣子，可以从计算机的组成原理和系统结构角度，完整说明计算机的工作过程，并能根据计算机的特征编写出更加高效的程序，为计算机系统分析、设计、开发和使用能力奠定基础。  ,课程即将开始,4.4,http://edu-image.nosdn.127.net/438D7C7D6CF0940701CE0D78FE447276.png?imageView&thumbnail=510y288&quality=100
硬软件系统及原理,https://www.icourse163.org/course/NWU-298002,120,耿国华,数据结构,西北大学,国家精品,2023年02月23日,2023年06月30日,"我们生活的现实世界中所有物质都可以抽象为数字、文字、声音、图像和视频,这些数据存储在计算机中，构成了信息世界，经过处理后又服务于我们社会生活的方方面面。计算机科学是一种创造性思维活动，其教育必须面向设计。数据是表征客观事物的可记录可识别符号集合。数据是信息处理的核心基础。数据结构和算法是计算机科学的基石，贯穿了分析问题解决问题的计算思维。数据结构作为学科的专业基础核心课程，对应于学科中问题求解的理论、抽象和设计的方法论，在学科知识体系中具有核心的重要位置。课程一般开设在二年级，应对前面学习的软件技术总结提高，为后续专业课程提供基础，培养基本数据结构分析能力和综合程序设计实现能力，体现着创造性思维的信息素质培养过程，是计算机科学与技术人才素质框架中的脊梁骨。它承上启下，贯通始终，对学生能力培养至关重要，受益终身。数据结构及其处理算法是设计与实现系统软件和大型应用软件的重要基础，“数据结构与算法”课程是计算机专业重要的专业技术基础课程。该课程的内容对于培养学生的计算思维、系统分析与设计、算法设计与分析、程序设计与实现等学科基本能力非常重要。本课程系统地介绍了软件开发中常用的数据结构以及相应的 存储结构和操作算法，包括常用的查找技术、排序技术、递归技术等。掌握“数据结构”中的基本概念、合理组织数据的基本方法、高效处理数据的 基本算法、常用的经典算法、通用的程序设计技术，以及面对实际问题时选择恰当数据结构并设计高效算法的能力，培养学生用计算思维分析问题的能力，提高学生 上机解决较大规模实际问题的能力，为进一步的软件开发打下坚实的基础。1.课程体系课程突出数据组织方法与实现技术构成，慕课约26个学时，由基本概念、基本结构（线性、树、图）和基本技术（查找、排序）三大部分组成。基本概念部分重点讲述数据结构定义、内容、方法、评价以及前续基础与课程要求，明确数据结构什么、学什么、怎么学数据结构。基本结构部分重点讲述线性结构、树、图的逻辑结构、存储结构及其加工处理基本算法。基本技术部分包括查找和排序两类经典技术，贯穿了参数传递、指针处理技术、数组应用、递归与队列等重要的程序设计技术；力求表现经典算法思路，为学习者继续展拓提供线索。M课视频每讲均附有小结，每章均有典型题例，便于总结提高。2.教学团队课程负责人和主讲人是国家教学名师耿国华教授，她主讲数据结构课程30余年，主持建设了《数据结构》国家精品课程与国家精品资源共享课程，主编数据结构教材4部，课程教学资源被我校和几十余所高校采用。课程团队成员均为从事数据结构课程教学的一线教师，教学经验丰富，能很好胜任线上辅导工作。3.课程特点数据结构的学习过程是进行复杂程序设计的训练过程。技能培养的重要程度不亚于知识传授。难点在于让学生理解、习惯、掌握构造思维算法方式。针对《数据结构》技术性与综合性较突出的特点，耿教授倡导实施了“指导—大运动量实践—反馈”教学法。通过作业练习、课堂练习、课程实习、课程设计实践过程，促进了学生逻辑抽象能力的培养。4.课程定位“数据结构与算法”是计算机学科的重要骨干基础课程，是本科教学的重中之重。作为计算机学科一个重要的分支，“数据结构与算法”课程涉及构筑计算机求解问题过程的两大基石：刻画实际问题中信息及其关系的数据结构和描述问题解决方案的逻辑抽象的算法。5.资源特色建设了支撑教学过程与自主学习两个面向的立体化教学资源,随书配备资源光盘、新形态教材、多媒体动画课件等资源支撑教学过程。面向教学过程资源：与课程内容特点相适应的Flash多媒体课件。提供选件控制方式，便于教学内容重组。以动画展现算法，便于对抽象算法本质的理解。面向自主学习扩展的教学资源：涵盖练习测试、同步训练、教学大纲、课堂视频、参考文献、相关题库等教学资源，促进学生线上线下主动学习，入门提高。让我们一起进入数据结构课程的学习，共同提高计算思维能力。图1 “数据结构与算法”知识体系图图2“数据结构与算法”与其他课程的关系",课程即将开始,4.175,http://nos.netease.com/edu-image/a9ae7a163896426393e1d5f3f3096cc4.jpg
硬软件系统及原理,https://www.icourse163.org/course/NJU-1001571004,135,骆斌,计算机操作系统,南京大学,国家精品,2023年02月28日,2023年07月31日, 南京大学是中国最早从事，操作系统研发与教学的单位，1980年在中国首先出版了操作系统教程教材，至2020年该教材已更新至第6版。 如果您是计算机科学、软件工程、电子、通信、控制、信息系统、电子商务、计算与信息科学等信息技术相关专业的学生，可以系统地学习本课程基本部分的内容，如果您想致力于操作系统的研发工作，可以进一步学习高级部分的内容；此外如果您是计算机爱好者，可以根据自己的需要，按需学习本课程相关部分的内容，建立对计算机操作系统整体或部分的认知。  本课程的理论教学组织为六个部分：计算机操作系统概述、处理器管理、存储管理、设备管理、文件管理、并发程序设计。学习者能够认知操作系统的基本概念与实现原理，并深入理解操作系统的设计方法与实现技术。自2021年秋季学期起，本课程加入教育部-华为“智能基座”精品慕课建设项目，新增了基于华为开源操作系统openEuler的实例教学，作为本课程的第七部分。实例教学同样组织为六个部分，与理论教学各部分内容一一对应。 本课程有三个特点：第一，强调计算机软硬件协同设计技术，讲授操作系统各个模块的实现方法、策略与算法；第二，从大型软件系统构造的角度看待操作系统的实现，训练学生以折中的方法和方案，综合解决宏观问题的能力；第三，采用工程师的立场，强调操作系统的构造特征，即概念大于理论、技术大于算法、整体先于局部，培养学生综合解决实际问题的能力。欢迎大家修读本课程！,课程即将开始,4.8,http://nos.netease.com/edu-image/f712e053a46e4bfab35be0ba3ea42035.jpg
硬软件系统及原理,https://www.icourse163.org/course/HIT-1002123007,603,陈鄞,编译原理,哈尔滨工业大学,国家精品,2023年02月13日,2023年07月31日,  同学们可能都有过使用高级程序设计语言编写程序的经历。当我们给计算机输入一段程序以后，计算机就可以按照我们的意图去工作。我们都知道，由0和1构成的机器代码才是可以被计算机直接理解的语言。因此，用高级语言编写的程序，最终都要“翻译”成由0和1构成的机器代码才可以在计算机上执行，这一翻译过程，就称为编译。那么，计算机是如何将高级程序设计语言编写的程序自动翻译成机器代码的呢？通过这么课程的学习，我们就可以找到答案。世界著名的计算机科学家Alfred V.Aho在他的经典著作《编译器》的第1章第1句话写道：“编写编译器的原理和技术具有十分普遍的意义，以至于在每个计算机科学家的研究生涯中，本课程中的原理和技术都会反复用到。”这句话点明了编译原理这门课程在计算机专业中的重要地位。本课程共计20讲。第1讲绪论第2讲程序设计语言及其文法第3讲词法分析第4讲语法分析_1第5讲语法分析_2第6讲语法分析_3第7讲语法分析_4第8讲语法制导翻译_1第9讲语法制导翻译_2第10讲语法制导翻译_3第11讲中间代码生成_1第12讲中间代码生成_2第13讲中间代码生成_3第14讲中间代码生成_4第15讲运行存储分配第16讲代码优化_1第17讲代码优化_2第18讲代码优化_3第19讲代码优化_4第20讲代码生成,课程即将开始,4.3,http://edu-image.nosdn.127.net/01FDF516CE284B6E07F9313A1AD777EA.png?imageView&thumbnail=510y288&quality=100
